psychology	2606.07441	sycophantic_praise
psychology	2606.06665	sentiment_contagion_ai_agent_human_networks
psychology	2606.07066	semantic_association_self_paced_reading
psychology	2606.02509	adhd_signals_turkish_teacher_narratives
psychology	2606.07515	llms_playing_dice_reliability
sociology	2606.07513	agentopia_long_term_life_simulation
sociology	2606.07123	perspectivist_social_meaning_fusion_embeddings
sociology	2606.07487	opinion_dynamics_deep_marl
sociology	2606.06425	positive_negative_user_interactions_social_sign
sociology	2606.04197	topology_memory_consensus
literature	2606.04308	creative_reading_transformation
literature	2606.05924	better_literary_translation
literature	2606.05724	narrative_knowledge_weaver
literature	2606.02293	ai_simulation_experiments_literary_studies
literature	2606.03301	sagaqa_long_form_narrative_understanding
linguistics	2606.07479	multiword_expression_classification_icl
linguistics	2606.07300	phun_bench_chinese_phonology
linguistics	2606.07183	geometry_semantic_space
linguistics	2606.07069	mmpisa_43_languages
linguistics	2606.01820	talktag_morphosyntactic_error_annotation
culture	2606.07422	masked_advantage_cultural_knowledge
culture	2606.07167	urdu_mmlu
culture	2606.06027	redditpersona_community_conditioned_adaptation
culture	2606.05069	federating_governance_mastodon
culture	2604.06210	distributional_open_ended_cultural_value_alignment
politics	2606.07245	ai_sovereignty_national_power
politics	2606.06971	us_attitudes_toward_china_multi_agent
politics	2606.04293	political_news_engagement_social_media
politics	2606.04289	online_criticism_partisan_news_media
politics	2606.06571	guatemala_1978_1995_killed
